Scaling factor	2.6659506944613276
Sulle Strade Del Rock, Volume 3	0.3635190162239831 0.261036760331897 0.20414187127525266 0.16781087923555754 -0.43478598470061497 -0.04353548938474655 -0.045557589968043814 0.5009310573014585 0.4162229513369531 -0.33570252468420914
Ad Bouman's Goud Van Oud	0.36351901622427407 0.26103676033221995 0.20414187127527025 0.16781087923572677 -0.4347859847007847 -0.04353548938749316 -0.045557589965874105 0.500931057299049 0.41622295133990067 -0.3357025246830506
Best of the 70’s	0.36351901622403304 0.26103676033213064 0.20414187127518674 0.1678108792356772 -0.4347859847007254 -0.043535489387498426 -0.04555758996886458 0.500931057297998 0.4162229513416068 -0.3357025246825642
Definitive Collection (bonus disc)	0.3635190162230128 0.2610367603307175 0.20414187127523367 0.16781087923494106 -0.4347859847000022 -0.04353548938765281 -0.04555758997121266 0.5009310572990172 0.4162229513399505 -0.33570252468701417
New City	0.3635190162218254 0.2610367603303415 0.2041418712747976 0.16781087923472945 -0.434785984699739 -0.043535489390083455 -0.04555758996988813 0.5009310573009409 0.4162229513397219 -0.3357025246864523
More Than Ever	0.36351901622384114 0.26103676033161743 0.20414187127529126 0.16781087923541294 -0.4347859847033132 -0.043535489385775415 -0.04555758996826957 0.5009310572984521 0.416222951338183 -0.33570252468410694
You've Made Me So Very Happy	0.3635190162222131 0.26103676033097073 0.20414187127474412 0.16781087923505608 -0.4347859847029895 -0.04353548938860071 -0.04555758996992899 0.5009310573019535 0.4162229513365547 -0.3357025246834352
Revisited	0.36351901622260896 0.26103676033104595 0.20414187127490888 0.16781087923510113 -0.43478598470293883 -0.043535489390996523 -0.04555758996930107 0.5009310572998618 0.4162229513384873 -0.3357025246834745
Baby Boomer Classics: Sixties, Volume 1	0.363519016223326 0.2610367603316333 0.20414187127503286 0.1678108792322811 -0.43478598470139374 -0.043535489385447775 -0.0455575899681626 0.5009310573011336 0.41622295133946724 -0.3357025246831227
Spinning Wheel - Best	0.3635190162247367 0.2610367603320771 0.20414187127555206 0.16781087923274687 -0.4347859847016396 -0.043535489388357045 -0.045557589966899695 0.500931057299128 0.4162229513395423 -0.3357025246832327
The Music People	0.3635190162258708 0.2610367603322054 0.20414187127605782 0.16781087923326266 -0.43478598470165497 -0.043535489388246244 -0.04555758996958784 0.5009310572985812 0.41622295133774234 -0.3357025246843282
Horn Rock Bands	0.3635190162240855 0.26103676033121453 0.20414187127556677 0.16781087923293858 -0.43478598470303126 -0.04353548938760011 -0.0455575899689869 0.5009310572984829 0.41622295133829657 -0.335702524685487
Welcome the Rock People	0.36351901622463534 0.2610367603291081 0.20414187128039857 0.16781087923355048 -0.43478598470047286 -0.043535489387575406 -0.04555758996897032 0.5009310572987388 0.4162229513386599 -0.33570252468562356
No Sweat	0.36351901622368965 0.2610367603286785 0.20414187127804548 0.16781087923553847 -0.4347859846978762 -0.04353548938693646 -0.04555758996864549 0.5009310573005761 0.41622295133986076 -0.3357025246866587
The Ultimate Mastersound Sampler	0.36351901622495747 0.2610367603292532 0.20414187127842542 0.16781087923583465 -0.43478598470041663 -0.04353548938520593 -0.04555758996823211 0.5009310572990012 0.4162229513381285 -0.33570252468596756
Miles of the 60s	0.36351901622154065 0.26103676032759443 0.20414187127799013 0.16781087923550447 -0.43478598469972857 -0.04353548938734633 -0.04555758996873421 0.5009310573032784 0.4162229513397428 -0.33570252468291073
Maximum Cowbell	0.36351901622491284 0.2610367603292874 0.20414187127812033 0.1678108792355923 -0.4347859847002784 -0.043535489387470976 -0.045557589968854166 0.5009310572986713 0.41622295133788567 -0.33570252468717937
New Blood	0.3635190162252533 0.2610367603293329 0.204141871278806 0.16781087923613588 -0.4347859847006243 -0.043535489387316016 -0.04555758997159546 0.5009310572981456 0.4162229513397414 -0.33570252468319617
Typisch Zestig!	0.36351901622296495 0.2610367603283987 0.20414187127756717 0.16781087923516155 -0.4347859846997544 -0.0435354893896867 -0.04555758996949789 0.5009310573013742 0.4162229513376798 -0.33570252468699635
Romancing the 70s, Volume 8: I Go Crazy	0.3635190162230819 0.26103676032844786 0.20414187127762273 0.16781087923520518 -0.4347859846997955 -0.04353548938970401 -0.04555758997148577 0.5009310573001204 0.41622295133911774 -0.33570252468651995
Rare & Well Done: The Greatest and Most Obscure Recordings 1964-2001	0.3635190162219049 0.2610367603277954 0.20414187127790726 0.1678108792354369 -0.4347859847028643 -0.04353548938809786 -0.045557589966496996 0.5009310573008949 0.4162229513391023 -0.33570252468313616
Woodstock Generation	0.3635190162243088 0.261036760328971 0.2041418712781677 0.1678108792356328 -0.4347859847026378 -0.04353548938798679 -0.04555758996929442 0.5009310573003192 0.41622295133560294 -0.335702524684983
XXL: Super Long Versions, Volume 2	0.36351901622412236 0.2610367603289257 0.20414187127790157 0.16781087923542204 -0.43478598470220803 -0.043535489387978576 -0.045557589971286054 0.5009310572988643 0.4162229513372838 -0.33570252468606737
Spinning Wheel	0.36351901622218663 0.26103676032802886 0.2041418712774248 0.16781087923505195 -0.4347859847034875 -0.043535489388379894 -0.04555758996970726 0.5009310572988095 0.41622295133905973 -0.3357025246855878
Hits of the 60's	0.36351901622342647 0.26103676032859113 0.20414187127779546 0.16781087923302782 -0.43478598470027396 -0.04353548938568658 -0.045557589968368256 0.500931057300402 0.41622295133928844 -0.335702524686648
Lo Esencial De Las Clásicas De Universal Stereo	0.36351901622429844 0.26103676032898815 0.20414187127804734 0.1678108792332565 -0.4347859847005054 -0.043535489387731725 -0.04555758996701337 0.5009310572989107 0.4162229513398394 -0.33570252468631173
Paint the Sky With Stars	0.3635190162257645 0.26103676032967077 0.2041418712783904 0.16781087923368934 -0.4347859847008426 -0.0435354893876947 -0.045557589969038415 0.5009310572989462 0.41622295133737336 -0.3357025246861849
Blue Eyed Soul	0.3635190162236829 0.26103676032862827 0.20414187127829625 0.1678108792328384 -0.43478598470061736 -0.04353548939050604 -0.04555758996745679 0.5009310573013076 0.41622295133953296 -0.33570252468311407
More and More	0.3635190162237009 0.2610367603287123 0.204141871277895 0.16781087923308763 -0.43478598470035984 -0.043535489389992084 -0.04555758997005855 0.5009310572990493 0.4162229513408226 -0.3357025246853706
The Rock Collection: Legendary Rock	0.3635190162243458 0.2610367603289617 0.2041418712783183 0.1678108792331142 -0.434785984703231 -0.04353548938879332 -0.04555758996767351 0.5009310572988217 0.41622295133888154 -0.33570252468349626
Big Rock	0.3635190162238383 0.26103676032877715 0.20414187127792252 0.1678108792314581 -0.4347859847005498 -0.0435354893878934 -0.04555758996920566 0.5009310573000861 0.41622295134006543 -0.33570252468551853
Ohrwürmer Woodstock Generation	0.36351901622439176 0.2610367603290218 0.20414187127576416 0.16781087923549753 -0.43478598469823887 -0.0435354893869961 -0.045557589968676676 0.5009310573007281 0.4162229513399294 -0.3357025246863896
The Ultimate Collection of Rock & Roll, Volume 11: Lovin' 60's	0.363519016225541 0.261036760329543 0.20414187127613465 0.1678108792357662 -0.43478598470058544 -0.043535489385436436 -0.045557589968299346 0.5009310572992707 0.4162229513383369 -0.3357025246857631
Fabulous 60s	0.3635190162226944 0.2610367603281625 0.20414187127502284 0.1678108792354538 -0.4347859847000297 -0.043535489387437384 -0.04555758996881125 0.500931057303161 0.4162229513398358 -0.3357025246829547
The Best of the Rock Machine Turns You On	0.3635190162253651 0.26103676032951045 0.20414187127618044 0.16781087923553864 -0.4347859847004177 -0.04353548938752309 -0.04555758996889685 0.5009310572988822 0.4162229513381911 -0.3357025246869392
Back to the 70's	0.3635190162259741 0.26103676032969764 0.20414187127618352 0.16781087923603247 -0.4347859847008101 -0.043535489387400775 -0.045557589971363145 0.500931057298549 0.41622295133961024 -0.33570252468333234
The Original Music From the 60's, Volume 1 / Part 2	0.3635190162236425 0.26103676032872486 0.20414187127561573 0.16781087923515306 -0.43478598469995555 -0.04353548938957313 -0.045557589969545675 0.5009310573013768 0.41622295133794035 -0.33570252468673273
Peace & Love	0.36351901622550925 0.26103676032954404 0.20414187127615785 0.16781087923569796 -0.43478598470053775 -0.04353548938964684 -0.04555758997145845 0.5009310572991627 0.4162229513384766 -0.33570252468497325
Seems Like Yesterday, Volume II: Mid 70s	0.3635190162223935 0.26103676032811235 0.20414187127511318 0.1678108792350428 -0.43478598470211727 -0.04353548938817808 -0.04555758996722286 0.5009310573003214 0.4162229513400294 -0.33570252468533734
Blood, Sweat & Tears 3	0.36351901622470273 0.26103676032912293 0.2041418712757778 0.16781087923572777 -0.4347859847030629 -0.043535489388126965 -0.045557589969440676 0.5009310572981007 0.4162229513399518 -0.3357025246830382
Rock Memories	0.3635190162244307 0.261036760329078 0.2041418712758604 0.1678108792353545 -0.4347859847022152 -0.04353548938994042 -0.045557589968628125 0.5009310572986971 0.41622295133851167 -0.3357025246857856
Woodstock: The Complete Bootleg	0.3635190162263325 0.2610367603299171 0.20414187127642264 0.16781087923371593 -0.4347859846992169 -0.043535489389158834 -0.04555758996896369 0.5009310572995463 0.41622295133919923 -0.3357025246852778
Woodstock Memories	0.36351901622357696 0.2610367603286515 0.2041418712754998 0.16781087923295115 -0.4347859847005228 -0.043535489387909625 -0.045557589967058 0.5009310573008618 0.41622295134043835 -0.33570252468528816
Music That Changed Our Lives - Classic Rock	0.3635190162235095 0.26103676032863654 0.20414187127551212 0.16781087923298887 -0.43478598470044133 -0.043535489387910846 -0.0455575899692132 0.5009310572998931 0.4162229513413705 -0.3357025246855315
25 Years of Rock 'n' Roll, Volume 2: 1969	0.3635190162244858 0.2610367603290288 0.20414187127571712 0.16781087923306276 -0.4347859847009085 -0.04353548939034316 -0.04555758996795045 0.5009310573012886 0.4162229513395688 -0.3357025246831575
The Ultimate Jukebox Hits of the 70s	0.3635190162245687 0.26103676032910034 0.20414187127581748 0.1678108792332031 -0.43478598470301527 -0.04353548938674704 -0.04555758996858471 0.5009310573008642 0.41622295133726167 -0.3357025246842084
Highlights	0.3635190162241257 0.26103676032896156 0.2041418712758096 0.16781087923330712 -0.4347859847022158 -0.04353548938883423 -0.04555758997037861 0.5009310573000295 0.41622295133789405 -0.3357025246860549
100 Pophits	0.3635190162237205 0.2610367603268275 0.20414187127813135 0.16781087923532367 -0.43478598470012225 -0.04353548938763491 -0.04555758996900967 0.5009310573001514 0.416222951339827 -0.33570252468594874
Summer Classics of the 60s & 70s	0.3635190162252759 0.261036760327816 0.20414187127645117 0.16781087923391658 -0.4347859847021801 -0.04353548938834496 -0.045557589969759 0.5009310572997977 0.41622295133835857 -0.3357025246849205
Classic Rock: Rock Renaissance III	0.3635190162234613 0.26103676032975076 0.20414187127828518 0.16781087923374252 -0.4347859847006528 -0.043535489387934174 -0.04555758996924887 0.500931057300137 0.41622295133859355 -0.3357025246858212
70’s Greatest Rock Hits, Volume 10: Hitchin’ a Ride	0.3635190162239249 0.26103676033005213 0.2041418712768078 0.16781087923436797 -0.4347859847017055 -0.04353548938698841 -0.045557589970497143 0.5009310573002866 0.416222951338752 -0.3357025246837041
The Columbia Albums Collectiön	0.36351901622299254 0.26103676033063505 0.204141871283045 0.16781087923042573 -0.4347859846997264 -0.043535489387492014 -0.045557589968896355 -0.047775545529051056 -0.0502191212423627 0.7294279893026528
The Metal Battle	0.3635190162270754 0.2610367603319284 0.20414187127856334 0.16781087923603677 -0.43478598469668706 -0.04353548939061281 -0.0455575899686637 -0.0477755455289079 -0.0502191212396079 0.7294279893025318
1976-09-11: Cobo Arena, Detroit, MI, USA	0.36351901622665844 0.26103676033166273 0.2041418712783602 0.16781087923587143 -0.4347859847004317 -0.04353548938732988 -0.04555758996871931 -0.04777554552514618 -0.050219121239228615 0.7294279893012445
Playlist: The Very Best of Blue Öyster Cult	0.3635190162266737 0.26103676033146106 0.20414187127817332 0.16781087923570737 -0.4347859847003861 -0.04353548938740309 -0.04555758997223252 -0.04777554553018432 -0.050219121239236275 0.7294279893010915
Bad Channels	0.3635190162237366 0.26103676033053264 0.2041418712776091 0.16781087923530155 -0.43478598469965046 -0.04353548939206774 -0.04555758997027901 -0.04777554553445558 -0.05021912124122103 0.7294279893025893
The Columbia Albums Collectiön Sampler	0.3635190162179012 0.2610367603288767 0.2041418712766615 0.16781087923464708 -0.43478598470605473 -0.0435354893894699 -0.045557589970641216 -0.04777554552320485 -0.05021912123508961 0.7294279893029564
The Cöllection	0.3635190162226125 0.26103676032991346 0.20414187127715064 0.16781087923493393 -0.4347859847036836 -0.043535489392651214 -0.04555758997256138 -0.047775545530912775 -0.050219121239476666 0.7294279893014736
Daily Star's Jukebox Classics, Volume 2	0.3635190162227225 0.26103676033051026 0.20414187127768835 0.16781087922924853 -0.434785984700924 -0.043535489388496204 -0.045557589964011325 -0.0477755455272484 -0.05021912124212586 0.729427989304271
Top of Pop and Rock	0.36351901622558414 0.2610367603310682 0.2041418712779195 0.16781087923169855 -0.4347859847010055 -0.04353548938818521 -0.04555758997302348 -0.04777554552791913 -0.05021912124061587 0.7294279893022535
Pure… Fitness	0.36351901622061417 0.26103676032939993 0.2041418712768754 0.16781087922911328 -0.4347859847054252 -0.043535489391649654 -0.04555758996879816 -0.04777554552897515 -0.05021912123737576 0.7294279893031907
Cult Classic	0.36351901622402116 0.2610367603311979 0.204141871271667 0.1678108792347362 -0.4347859846948338 -0.04353548939210876 -0.04555758996872031 -0.0477755455289296 -0.050219121237359075 0.7294279893070308
Pure... Rock Ballads	0.36351901622543714 0.26103676033116485 0.2041418712736536 0.16781087923489788 -0.4347859847006629 -0.04353548938780816 -0.04555758996910756 -0.04777554552524979 -0.050219121241954434 0.7294279893031326
Rock & Pop Diamonds 1976	0.3635190162254557 0.2610367603311159 0.20414187127379102 0.16781087923488647 -0.4347859847006306 -0.043535489387808525 -0.045557589973109366 -0.04777554553111604 -0.050219121233775955 0.7294279893031135
Agents of Fortune	0.3635190162209113 0.261036760329576 0.20414187127119368 0.16781087923390883 -0.43478598470525814 -0.04353548939051477 -0.045557589966466965 -0.04777554552788353 -0.050219121236722605 0.7294279893038513
Made in America II	0.3635190162241477 0.2610367603306624 0.20414187127306702 0.1678108792301569 -0.43478598470234464 -0.043535489385604295 -0.045557589968053334 -0.047775545528561766 -0.050219121241119304 0.729427989304163
Week of K.R.I.T.	0.36351901622624183 0.2610367603274124 0.204141871281345 0.1678108792363284 -0.43478598470014307 -0.04353548938738361 -0.04555758996883836 -0.04777554552902408 -0.05021912123925132 0.7294279893020164
(Don't Fear) The Reaper	0.363519016225411 0.2610367603262541 0.2041418712779239 0.1678108792355809 -0.4347859846958255 -0.04353548938613408 -0.04555758997290494 -0.047775545530655335 -0.050219121239237954 0.7294279893058931
Rock & Roll’s Greatest Hits of the 70’s Volume 3	0.3635190162265624 0.2610367603278268 0.2041418712779422 0.1678108792355463 -0.4347859847004644 -0.04353548938748338 -0.04555758996567224 -0.04777554553146773 -0.05021912123962156 0.7294279893027825
The Greatest Rock Songs Ever	0.3635190162214415 0.26103676032380574 0.20414187127688765 0.1678108792348029 -0.43478598469927426 -0.043535489387432506 -0.04555758997463548 -0.04777554553113986 -0.05021912123962662 0.7294279893066057
Compil Hard Rock	0.3635190162256022 0.2610367603271152 0.2041418712777306 0.16781087923539412 -0.4347859847002349 -0.04353548939136496 -0.0455575899702355 -0.04777554553039093 -0.05021912123332533 0.7294279893036025
