Scaling factor	2.6659506944613276
Cream	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.005004833228814074 0.5436277606051179 0.40084961793219864 -0.36198769785825974
The Creation	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.005004833228814074 0.004979162097547659 0.004953753094541839 0.7662880137211676
Marshall Crenshaw	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.005004833228814074 0.004979162097547659 -0.7662399787700737 0.009907299172378032
Jim Croce	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.005004833228814074 0.004979162097547659 -0.014860431225454135 -0.7661599227486697
Sheryl Crow	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.005004833228814074 0.004979162097547659 0.7660478490024865 -0.019812942263017743
Crowded House	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.005004833228814074 -0.536563322699405 -0.3179911441636548 0.4452281265429123
Culture Club	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 0.005004833228814074 -0.536563322699405 -0.17749071143953155 -0.5175359888781753
The Cure	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 -0.5365473858798074 0.25042022663120916 0.16167486563634142 0.4588458898958187
Dick Dale	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 -0.5365473858798074 0.25042022663120916 -0.41360308283490604 -0.25614605740139096
The Damned	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 -0.5365473858798074 0.25042022663120916 0.48281793710272786 -0.05970889770110607
Bobby Darin	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 -0.5365473858798074 -0.3179448510874642 -0.401048344189883 0.19354560198662316
The Spencer Davis Group	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 0.005030770566995927 -0.5365473858798074 -0.3179448510874642 0.27706605621693275 -0.34861737609907895
Dead Kennedys	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 -0.536531282429084 0.25047594009436974 0.16169741434058235 -0.39611164386747894 0.23160852079060357
Deep Purple	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 -0.536531282429084 0.25047594009436974 0.16169741434058235 0.2250431297484676 -0.39987814526830834
Def Leppard	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 -0.536531282429084 0.25047594009436974 -0.3790271363807669 -0.21498079709451126 -0.21636700737922587
John Denver	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 -0.536531282429084 -0.3178980719387597 0.09939557723865257 0.08209842271107737 0.4263242612755737
Depeche Mode	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 -0.536531282429084 -0.3178980719387597 0.09939557723865257 -0.23455250514116824 -0.36534593072294186
Derek	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 0.005056978275826957 -0.536531282429084 -0.3178980719387597 -0.4010264174995239 -0.1935501063523465 0.00939022560475846
Jackie DeShannon	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 -0.5365150097196109 0.25053223074930797 0.16172019255388068 0.1199906137735755 0.09556463613344632 0.432462784160297
DeVo	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 -0.5365150097196109 0.25053223074930797 0.16172019255388068 0.1199906137735755 -0.2688968360370419 -0.35192492229488637
Dexys Midnight Runners	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 -0.5365150097196109 0.25053223074930797 0.16172019255388068 -0.39610793880640754 -0.1969906301248966 0.12185072512828325
Neil Diamond	0.3635190162221552 0.2610367603283276 0.20414187127573807 -0.4131794395278692 -0.5365150097196109 0.25053223074930797 -0.37901546370920275 -0.11711960276827997 -0.14893671078535406 0.23907312800387104
